"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"BIDEN","The federal government",0.0,1.0,0.0,0.0,"","","","","the federal government","",0.0
"HARRIS","That's why we have the Voting Rights Act and the Civil Rights Act.",0.0,1.0,0.0,0.0,10321,4116.898,10329,4119.598,"that's why we have the voting rights act and the civil rights act","the civil rights of 40 all right from the",0.4716981132075472
"HARRIS","That's why we need to pass the Equality Act. That's why we need to pass the ERA because there are moments in history where states fail to preserve the civil rights of all people.",0.096,0.904,0.0,-0.5423,10339,4122.178,10363,4130.178,"that's why we need to pass the equality act that's why we need to pass the era because there are moments in history where states fail to preserve the civil rights of all people","to bring other all right from the very beginning i'm the guy that extended the voting rights act for 25 years we got to the",0.4280936454849498
"BIDEN","I've supported the ERA from the very beginning when I ran for",0.0,0.813,0.187,0.3182,10371,4133.028,10380,4136.148,"i've supported the era from the very beginning when i ran for","the united states senate doing it i've also argued very",0.43103448275862066
"TODD","Vice President Biden 30 seconds because I want to bring other people into this.",0.0,0.902,0.098,0.0772,10394,4141.018,10394,4141.138,"vice president biden 30 seconds because i want to bring other people into this","to",0.05
"BIDEN","I supported the ERA from the very beginning. I'm the guy that extended the Voting Rights Act for 25 years. We got to the place where we got 98 out of 98 votes in the United States Senate doing it. I've also argued very strongly that we in fact deal with the notion of denying people access to the ballot box. I agree that everybody once they in fact  anyway my time is up. I'm sorry.",0.075,0.805,0.12,0.5849,10398,4142.078,10410,4145.818,"i supported the era from the very beginning i'm the guy that extended the voting rights act for 25 years we got to the place where we got 98 out of 98 votes in the united states senate doing it i've also argued very strongly that we in fact deal with the notion of denying people access to the ballot box i agree that everybody once they in fact anyway my time is up i'm sorry","i agree that everybody wants day and fat dish and my time's up",0.2465753424657534
"TODD","Thank you Vice President.",0.0,0.545,0.455,0.3612,10411,4145.838,10414,4147.368,"thank you vice president","thank you vice president",1.0
"HARRIS","All of these things have to do",0.0,1.0,0.0,0.0,10415,4147.768,10422,4150.498,"all of these things have to do","senator sanders senator sanders i'm gonna go to",0.38961038961038963
"TODD","Senator Sanders Senator Sanders I'm going to go to you on this. You said on the day you launched your campaign that voters should focus on what people stand for not a candidate's race or age or sexual orientation.",0.0,0.961,0.039,0.128,10423,4150.498,10452,4159.668,"senator sanders senator sanders i'm going to go to you on this you said on the day you launched your campaign that voters should focus on what people stand for not a candidate's race or age or sexual orientation","you on this you said on the day you launched her campaign that voters should focus on what people stand for not a candidate's race or age or sexual orientation",0.8486486486486486
"TODD","Many Democrats are very excited by the diversity of this field on this stage and on last night's stage and the perspective that diversity brings to this contest and to these issues.",0.0,0.92,0.08,0.4005,10453,4160.348,10483,4170.618,"many democrats are very excited by the diversity of this field on this stage and on last night's stage and the perspective that diversity brings to this contest and to these issues","many democrats are very excited by the diversity of this field on this stage and on last night's stage and the perspective that diversity brings to this contest into these issues",0.9888268156424581
"SANDERS","Absolutely.",0.0,1.0,0.0,0.0,"","","","","absolutely","",0.0
"TODD","Are you telling Democratic voters that diversity shouldn't matter when they make this decision?",0.076,0.924,0.0,-0.0191,10484,4171.208,10497,4176.138,"are you telling democratic voters that diversity shouldn't matter when they make this decision","are you telling democratic voters that diversity shouldn't matter when they make this decision",1.0
"SANDERS","No absolutely not. Unlike the Republican Party we encourage diversity we believe in diversity. That's what America is about.",0.091,0.661,0.248,0.5859,10498,4176.558,10516,4187.018,"no absolutely not unlike the republican party we encourage diversity we believe in diversity that's what america is about","no absolutely not unlike the republican party we encourage diversity we believe in diversity that's what america is about",1.0
"SANDERS","But in addition to diversity in terms of having more women more people from the LGBT community we also have to do something else. And that is we have to ask ourselves a simple question in that how come today the worker in the middle of our economy is making no more money than he or she made 45 years ago and that in the last 30 years the top 1 percent has seen a $21 trillion increase in their wealth?",0.026,0.886,0.087,0.6249,10517,4187.968,10598,4220.018,"but in addition to diversity in terms of having more women more people from the lgbt community we also have to do something else and that is we have to ask ourselves a simple question in that how come today the worker in the middle of our economy is making no more money than he or she made 45 years ago and that in the last 30 years the top 1 percent has seen a $21 trillion increase in their wealth","but in addition to diversity in terms off having more women more people from the g lgbt community we also have to do something else and that is we have to ask ourselves a simple question and that how come today the worker in the middle of our economy is making no more money that he or she made 45 years ago and that in the last 30 years the top 1% has seen a 21 trillion dollar increase in their wealth",0.9688667496886675
"SANDERS","We need a party that is diverse but we need a party that has the guts to stand up to the powerful special interests who have so much power over the economic and political life of this country.",0.0,0.672,0.328,0.9343,10599,4220.708,10636,4233.21,"we need a party that is diverse but we need a party that has the guts to stand up to the powerful special interests who have so much power over the economic and political life of this country","we need a party that is the first but we need a party that has the guts to stand on the powerful special interests who have so much power over the economic and political life off this country",0.9581151832460733
"TODD","Senator Gillibrand I want to give you 30 seconds on this.",0.0,0.874,0.126,0.0772,10637,4233.22,10647,4235.28,"senator gillibrand i want to give you 30 seconds on this","senator gillibrand i want to give you 30 seconds on this",1.0
"GILLIBRAND","Well first of all where Bernie left off we've heard a lot of good ideas on this stage tonight and a lot of plans but the truth is until you go to the root of the corruption the money in politics the fact that Washington is run by the special interests you are never going to solve any of these problems.",0.078,0.744,0.179,0.7237,10648,4235.29,10709,4251.76,"well first of all where bernie left off we've heard a lot of good ideas on this stage tonight and a lot of plans but the truth is until you go to the root of the corruption the money in politics the fact that washington is run by the special interests you are never going to solve any of these problems","well first of all where bernie left off we've heard a lot of good ideas on this stage tonight in a lot of plans but the truth is until you go to the root of the corruption the money in the in politics the fact that washington is run by the special interest you never going to solve any of these problems",0.9752066115702479
"GILLIBRAND","I have the most comprehensive approach that experts agree is the most transformative plan to actually take on political corruption to get money out of politics through publicly funded elections to have clean elections. If we do that and get money out of politics we can guarantee health care as a right not a privilege we can deal with institutional racism we can take on income inequality and we can take on the corporate corruption that runs Washington.",0.071,0.782,0.146,0.6687,10710,4251.77,10787,4276.28,"i have the most comprehensive approach that experts agree is the most transformative plan to actually take on political corruption to get money out of politics through publicly funded elections to have clean elections if we do that and get money out of politics we can guarantee health care as a right not a privilege we can deal with institutional racism we can take on income inequality and we can take on the corporate corruption that runs washington","i have the most comprehensive approach experts agree is the most transformative plan to actually take on political corruption to get money out of public politics through publicly funded elections to have clean elections if we do that and get money out of politics we can guarantee health care is a right not a privilege we could deal with institutional racism we can take on income inequality and we could take on the corporate corruption that runs washington",0.9714912280701754
"BIDEN","And the first constitutional amendment to do that was introduced by me when I was young senator.",0.0,1.0,0.0,0.0,10788,4276.29,10800,4279.76,"and the first constitutional amendment to do that was introduced by me when i was young senator","first to do that was introduced by me when i was a young",0.7152317880794702
"TODD","Thank you Vice President. We want to shift topics here. Senator Bennet the next question is for you.",0.0,0.808,0.192,0.4215,10802,4280.33,10818,4284.7,"thank you vice president we want to shift topics here senator bennet the next question is for you","thank you vice president we a ship topics here senator bennett the next question is for you",0.9468085106382979
"TODD","On the issue of partisan gridlock President Obama promised in 2012 that after his reelection Republicans would want to work with Democrats fever would break. That did not happen. Now Vice President Biden is saying the same thing that if he is elected in 2020 both parties will want to work together.",0.0,0.86,0.14,0.7003,10819,4285.09,10871,4300.6,"on the issue of partisan gridlock president obama promised in 2012 that after his reelection republicans would want to work with democrats fever would break that did not happen now vice president biden is saying the same thing that if he is elected in 2020 both parties will want to work together","on the issue of partisan gridlock president obama promised in 2012 that after his re election republicans would want to work with democrats fever would break that did not happen now best president biden is saying the same thing that if he is elected in 2020 both parties will want to work together",0.9881956155143339
"TODD","Should voters believe that somehow if there is a Democratic president in 2021 that gridlock is going to magically disappear?",0.095,0.905,0.0,-0.2263,10872,4301.32,10895,4311.09,"should voters believe that somehow if there is a democratic president in 2021 that gridlock is going to magically disappear","should voters believe that somehow if there's a democratic president in 2021 that gridlock is gonna magically disappear gridlock will not magically disappear is",0.8409893992932862
"BENNET","Gridlock will not magically disappear as long as Mitch McConnell is there first.",0.0,0.878,0.122,0.1695,10897,4311.3,10900,4312.37,"gridlock will not magically disappear as long as mitch mcconnell is there first","as mitch mcconnell is",0.42
"BENNET","Second second second that's why it is so important for us to win not just the presidency to have somebody that can run in all 50 states but to win the Senate as well. And that's why we have to propose policies that can be supported like Medicare act so that we can build a broad coalition of Americans to overcome broken Washington D.C. I agree with what Senator Gillibrand was saying. I share a lot of her views.",0.044,0.7,0.256,0.9586,10904,4316.72,10978,4341.71,"second second second that's why it is so important for us to win not just the presidency to have somebody that can run in all 50 states but to win the senate as well and that's why we have to propose policies that can be supported like medicare act so that we can build a broad coalition of americans to overcome broken washington d c i agree with what senator gillibrand was saying i share a lot of her views","that's why it is so important for us to win not just the presidency to have somebody that can run in all 50 states but toe but to win the senate as well and that's why we have to propose policies that can be supported like medicare accident we can build a broad coalition of americans overcome broken washington dc i agree with what senator gilbert was saying a share a lot of her views",0.9308176100628931
"BENNET","We need to end gerrymandering in Washington. We need to end political gerrymandering in Washington.",0.0,1.0,0.0,0.0,10979,4341.72,10990,4346.679,"we need to end gerrymandering in washington we need to end political gerrymandering in washington","we need to end jerry mannering and wash way needed political washington",0.7619047619047619
"BENNET","The court today said they couldn't do anything about it. We need to overturn Citizens United. The court was the one that gave us Citizens United. And the attack on voting rights in Shelby v. Holder is something we need to deal with.",0.064,0.821,0.115,0.3612,11006,4353.009,11032,4361.249,"the court today said they couldn't do anything about it we need to overturn citizens united the court was the one that gave us citizens united and the attack on voting rights in shelby v holder is something we need to deal with","the court was the one that gave us citizens united and the attack on voting rights in shelby vs holder is something we need to deal with",0.743801652892562
"BENNET","All of those things has happened since Vice President Biden was in the Senate. And we face structural problems that we have to overcome with a broad coalition. It's the only way we can do it. We need to root out the corruption in Washington expand people's right to get to the polls and I think then we can succeed.",0.043,0.87,0.087,0.4215,11033,4361.379,11094,4380.219,"all of those things has happened since vice president biden was in the senate and we face structural problems that we have to overcome with a broad coalition it's the only way we can do it we need to root out the corruption in washington expand people's right to get to the polls and i think then we can succeed","all of those things has happened since that a vice president biden was in the senate and we face structural problems that we have to overcome with a broad coalition it's the only way we can do it we need to root out the corruption of watching expand people's right to get to the polls and i think that we can succeed",0.9665071770334929
"TODD","Time's up. Vice President Biden 30 seconds. What  it does sound as if you haven't seen what's been happening in the United States Senate over the last 12 years. It didn't happen. Why?",0.0,0.92,0.08,0.4215,11095,4380.219,11127,4391.679,"time's up vice president biden 30 seconds what it does sound as if you haven't seen what's been happening in the united states senate over the last 12 years it didn't happen why","vice president biden 30 seconds i want i what it does sound as if you haven't seen what's been happening in the united states senate over the last 12 years it didn't happen",0.9340974212034384
"BIDEN","I have seen what happened. Just since we were vice president we needed three votes to pass an $800 billion Recovery Act that kept us from going into depression. I got three votes changed.",0.107,0.893,0.0,-0.5719,11129,4392.249,11158,4403.499,"i have seen what happened just since we were vice president we needed three votes to pass an $800 billion recovery act that kept us from going into depression i got three votes changed","i have seen would happen just since we're vice president we needed three votes to pass an $800,000,000,000 recovery kept us from going in depression i got three votes changed",0.8770949720670391
"BIDEN","We needed to be able to keep the government from shutting down and going bankrupt. I got Mitch McConnell to raise taxes $600 billion by raising the top rate. And as recently as after president got elected I was able to put together a coalition of the Cures Act to have billions of dollars go into cancer research bipartisan.",0.127,0.844,0.029,-0.802,11159,4403.639,11214,4424.729,"we needed to be able to keep the government from shutting down and going bankrupt i got mitch mcconnell to raise taxes $600 billion by raising the top rate and as recently as after president got elected i was able to put together a coalition of the cures act to have billions of dollars go into cancer research bipartisan","we needed to be ableto keep the government from shutting down and going bankrupt i got mitch mcconnell to raise taxes $600,000,000,000 by raising the top rate and as recently as after president got elected i was able to put together a coalition of the cures act that billions of dollars go into cancer research bipartisan",0.9595015576323987
"BIDEN","But sometimes you can't do that. Sometimes you just have to go out and beat them. I went into 20 states over 60 candidates and guess what? We beat them and we won back the Senate.",0.0,0.902,0.098,0.5719,11215,4424.729,11248,4434.619,"but sometimes you can't do that sometimes you just have to go out and beat them i went into 20 states over 60 candidates and guess what we beat them and we won back the senate","but sometimes you can't do that sometimes you have to go out and beat them i went into 20 states over 60 candidates and guess what we beat them we want back the senate",0.9649122807017544
"TODD","Thank you.",0.0,0.286,0.714,0.3612,11249,4434.629,11250,4435.069,"thank you","thank you",1.0
"BENNET","Chuck the problem with what the vice president",0.278,0.722,0.0,-0.4019,11251,4435.399,11256,4437.789,"chuck the problem with what the vice president","chuck thank you no problem with",0.5454545454545454
"TODD","Go ahead 30 seconds.",0.0,1.0,0.0,0.0,11257,4438.679,11258,4439.319,"go ahead 30 seconds","30 seconds",0.6896551724137931
"BENNET","The problem with what",0.474,0.526,0.0,-0.4019,"","","","","the problem with what","",0.0
"TODD","Yeah 30 seconds. Go ahead.",0.0,0.645,0.355,0.296,"","","","","yeah 30 seconds go ahead","",0.0
"BENNET","Sometimes you do have to beat them but  but the deal that he talked about with Mitch McConnell was a complete victory for the Tea Party. It extended the Bush tax cuts permanently. The Democratic Party had been running against that for 10 years.",0.056,0.802,0.142,0.6486,11259,4439.949,11302,4455.539,"sometimes you do have to beat them but but the deal that he talked about with mitch mcconnell was a complete victory for the tea party it extended the bush tax cuts permanently the democratic party had been running against that for 10 years","sometimes you do have to beat him but but the deal that he talked about with mitch mcconnell was a complete victory for the tea party it extended the bush tax cuts permanently the democratic party had been running against that for 10 years",0.9937369519832986
"BENNET","We lost that economic argument because that deal extended almost all those Bush tax cuts permanently and put in place the mindless cuts that we still are dealing with today that are called the sequester. That was a great deal for Mitch McConnell.",0.232,0.69,0.079,-0.7184,11303,4455.609,11344,4471.473,"we lost that economic argument because that deal extended almost all those bush tax cuts permanently and put in place the mindless cuts that we still are dealing with today that are called the sequester that was a great deal for mitch mcconnell","we lost that economic argument because that deal almost all this bush tax cuts permanently and put in place the mindless cuts that we still are dealing with today that are called the sequester that was a great deal for mitch mcconnell",0.9748953974895398
"BIDEN","Oh come on.",0.0,1.0,0.0,0.0,"","","","","oh come on","",0.0
"BENNET","It was a terrible deal for America.",0.383,0.617,0.0,-0.4767,11345,4471.553,11350,4473.163,"it was a terrible deal for america","it was a terrible deal for",0.8666666666666667
"TODD","Thank you Senator. Thank you Senator Bennet.",0.0,0.5,0.5,0.6124,11351,4473.763,11353,4474.563,"thank you senator thank you senator bennet","thank you senator",0.576271186440678
"GILLIBRAND","And you heard",0.0,1.0,0.0,0.0,"","","","","and you heard","",0.0
"TODD","Go ahead 30 seconds.",0.0,1.0,0.0,0.0,"","","","","go ahead 30 seconds","",0.0
"GILLIBRAND","You heard from the Republicans that the reason why the Trump tax cut had to be passed is because they had to pay back their donors. You heard it. They actually said those words. So the corruption in Washington is real and it is something that makes every one of the plans we've heard about over the last several months impossible.",0.056,0.944,0.0,-0.3612,11355,4477.533,11406,4493.393,"you heard from the republicans that the reason why the trump tax cut had to be passed is because they had to pay back their donors you heard it they actually said those words so the corruption in washington is real and it is something that makes every one of the plans we've heard about over the last several months impossible","reason why trump tax cut had to be past is because they had to pay back their donors you heard it they actually said those words so the corruption in washington is real and it is something that makes everyone of the plans we've heard about over the last several months impossible",0.9190082644628099
"GILLIBRAND","And I have the most comprehensive approach to do it with clean elections publicly funded elections so we restore the power of our democracy into the hands of the voters not into the Koch brothers.",0.0,0.806,0.194,0.7559,11407,4493.403,11441,4504.323,"and i have the most comprehensive approach to do it with clean elections publicly funded elections so we restore the power of our democracy into the hands of the voters not into the koch brothers","and i have the most comprehensive approach to do it with clean elections publicly fund elections so we restore the power of our democracy into the hands of the voters not into the coke brothers",0.979381443298969
"GILLIBRAND","We were talking about issues. Imagine  we're in Florida  imagine the Parkland kids having as much power in our democracy as the Koch brothers or the NRA.",0.0,1.0,0.0,0.0,11442,4504.353,11467,4514.063,"we were talking about issues imagine we're in florida imagine the parkland kids having as much power in our democracy as the koch brothers or the nra","we were talking about issues imagine we're in florida imagine the parkland kids having his much power in our democracy as the kohl brothers for the",0.9662162162162162
"TODD","Thank you. Thank you Senator Gillibrand.",0.0,0.444,0.556,0.6124,"","","","","thank you thank you senator gillibrand","",0.0
"GILLIBRAND","Imagine their voices carrying farther and wider than anyone else because their voice is needed.",0.0,1.0,0.0,0.0,11469,4514.663,11479,4521.433,"imagine their voices carrying farther and wider than anyone else because their voice is needed","imagine their voices carry farther and wider anyone else is needed",0.825
"TODD","Senator Gillibrand I'm trying to get everybody in here.",0.0,1.0,0.0,0.0,11481,4522.133,11484,4522.713,"senator gillibrand i'm trying to get everybody in here","i'm trying to get",0.4788732394366197
"GILLIBRAND","And as president it's the first thing I'm going to do",0.0,1.0,0.0,0.0,11486,4523.023,11491,4524.483,"and as president it's the first thing i'm going to do","it's the first thing you do",0.625
"TODD","Thank you.",0.0,0.286,0.714,0.3612,"","","","","thank you","",0.0
"GILLIBRAND"," because nothing else is possible whether it's education or health care or ending institutional racism.",0.202,0.64,0.158,-0.2263,11492,4524.483,11503,4528.963,"because nothing else is possible whether it's education or health care or ending institutional racism","because nothing else is possible whether it's education or health care ending",0.8651685393258427
"TODD","Thank you very much.",0.0,0.545,0.455,0.3612,11505,4529.493,11508,4530.153,"thank you very much","thank you very much",1.0
"MADDOW","Senator Sanders I'd like to put a different question to you. Roe v. Wade has been the law of the land since 1973. Now that there is a conservative majority on the Supreme Court several Republican-controlled states have passed laws to severely restrict or even ban abortion. One of those laws could very well make it to the Supreme Court during your presidency if you're elected president. What is your plan if Roe is struck down in the court while you're president?",0.118,0.756,0.127,0.2247,11509,4530.453,11589,4554.463,"senator sanders i'd like to put a different question to you roe v wade has been the law of the land since 1973 now that there is a conservative majority on the supreme court several republican-controlled states have passed laws to severely restrict or even ban abortion one of those laws could very well make it to the supreme court during your presidency if you're elected president what is your plan if roe is struck down in the court while you're president","i'd like to put a different question to you roe versus wade has been the law of the land since 1973 now that there is a conservative majority on the supreme court several republican controlled states have passed laws to severely restrict or even ban abortion one of those laws could very well make it to the supreme court during your presidency if you're elected president what is your plan if roe is struck down in the court while you're president",0.9746416758544653
"SANDERS","Well my plan as somebody who believes for a start that a woman's right to control her own body is a constitutional right that government and politicians should not infringe on that right we will do everything we can to defend Roe versus Wade.",0.0,0.95,0.05,0.2732,11590,4555.353,11633,4572.283,"well my plan as somebody who believes for a start that a woman's right to control her own body is a constitutional right that government and politicians should not infringe on that right we will do everything we can to defend roe versus wade","well my plan somebody who believes for a start that a woman's right to control her own body is a constitutional right that government and politicians should not infringe on that right we will do everything we can to defend our roe versus wade",0.9855072463768116
"SANDERS","Second of all let me make a  let me make a promise here. You ask about litmus tests. My litmus test is I will never appoint any nominate any justice to the Supreme Court unless that justice is 100 percent clear he or she will defend Roe v. Wade.",0.0,0.728,0.272,0.936,11634,4572.663,11677,4590.17,"second of all let me make a let me make a promise here you ask about litmus tests my litmus test is i will never appoint any nominate any justice to the supreme court unless that justice is 100 percent clear he or she will defend roe v wade","second let me make let me make let me make a promise you you ask about litmus test my litmus test is i will never appoint any nominate any justice unless i trust this is 100% clear here she will defend roe v wade",0.8451327433628318
"SANDERS","Third of all",0.0,1.0,0.0,0.0,11678,4590.42,11678,4590.9,"third of all","third",0.5882352941176471
"SANDERS","I do not believe in packing the court. We got a terrible 5-4 majority conservative court right now. But I do believe that constitutionally we have the power to rotate judges to other courts. And that brings in new blood into the Supreme Court and a majority I hope that will understand that a woman has the right to control her own body and the corporations cannot run the United States of America.",0.072,0.841,0.087,0.2658,11679,4591.66,11755,4624.82,"i do not believe in packing the court we got a terrible 5-4 majority conservative court right now but i do believe that constitutionally we have the power to rotate judges to other courts and that brings in new blood into the supreme court and a majority i hope that will understand that a woman has the right to control her own body and the corporations cannot run the united states of america","i do not believe in packing the court we got a terrible five for majority conservative court right now but i do believe that constitutionally we have the power to rotate judges to other courts and that brings in new blood into the supreme court and a majority i hope that will understand that a woman has the right to control our own body and the corporations cannot run i'm gonna give you 10 additional seconds the",0.9196538936959209
"MADDOW","Hold on I'm going to give you 10 additional seconds because the question was",0.0,1.0,0.0,0.0,11759,4625.7,11759,4625.8,"hold on i'm going to give you 10 additional seconds because the question was","the",0.0759493670886076
"SANDERS","I'm sorry?",0.565,0.435,0.0,-0.0772,"","","","","i'm sorry","",0.0
"MADDOW"," what if the court has already overturned Roe and Roe is gone? All of the things you've just described would be to try to preserve Roe. If Roe is gone what could you do as president to preserve abortion rights?",0.0,1.0,0.0,0.0,11771,4630.82,11800,4638.13,"what if the court has already overturned roe and roe is gone all of the things you've just described would be to try to preserve roe if roe is gone what could you do as president to preserve abortion rights","the things you just described would be to try to preserve row if roe is gone what could you do as president preserve abortion well first let me tell you",0.7094972067039106
"SANDERS","We will pass  well first of all let me tell you this. It didn't come up here but let's face this Medicare for All guarantees every woman in this country the right to have an abortion if she wants it.",0.0,0.962,0.038,0.1406,11812,4643.47,11827,4650.55,"we will pass well first of all let me tell you this it didn't come up here but let's face this medicare for all guarantees every woman in this country the right to have an abortion if she wants it","all guarantees every woman in this country the rightto have an abortion if she wants it",0.6148409893992933
"MADDOW","Thank you Senator.",0.0,0.444,0.556,0.3612,11828,4650.56,11830,4651.23,"thank you senator","thank you senator",1.0
"GILLIBRAND","And can I address this for a second? And I want to talk directly directly to America's women and to the men who love them. Women's reproductive rights are under assault by President Trump and the Republican Party. Thirty states are trying to overturn Roe v. Wade right now.",0.07,0.778,0.152,0.5267,11831,4651.69,11879,4668.75,"and can i address this for a second and i want to talk directly directly to america's women and to the men who love them women's reproductive rights are under assault by president trump and the republican party thirty states are trying to overturn roe v wade right now","can i just address this for a second on i want to talk directly directly to america's women and to the men who love them women's reproductive rights are under assault by president trump and the republican party 30 states are trying to overturn roe v wade right now",0.9624060150375939
"GILLIBRAND","And it is mind-boggling to me that we are debating this on this stage in 2019 among Democrats whether women should have access to reproductive rights. I think we have to stop playing defense and start playing offense.",0.102,0.775,0.123,-0.0258,11880,4669.06,11916,4682.3,"and it is mind-boggling to me that we are debating this on this stage in 2019 among democrats whether women should have access to reproductive rights i think we have to stop playing defense and start playing offense","and it is mind boggling to me that debating this on this stage in 2019 among democrats whether women should have access to reproductive rights i think we have to stop paying defense and start playing offense",0.976303317535545
"GILLIBRAND","But let me tell you one thing about politics because it goes to the corruption and the deal-making. When the door is closed and negotiations are made there are conversations about women's rights and compromises have been made on our backs. That's how we got to Hyde that's how the Hyde Amendment was created a compromise by leaders of both parties.",0.019,0.906,0.075,0.5423,11917,4682.35,11979,4699.54,"but let me tell you one thing about politics because it goes to the corruption and the deal-making when the door is closed and negotiations are made there are conversations about women's rights and compromises have been made on our backs that's how we got to hyde that's how the hyde amendment was created a compromise by leaders of both parties","but let me tell you one thing about politics because it goes to the corruption of the deal making when the door is closed in the negotiations are made there are conversations about women's rights and compromises have been made on our backs that's how we got to hide that's how the hyde amendment was created a compromise by leaders of both parties",0.976878612716763
"GILLIBRAND","Then we have the ACA. During the ACA negotiation I had to fight like heck with other women to make sure that contraception wasn't sold down the river or abortion services. And so what we need to know is imagine this one question. When we beat President Trump and Mitch McConnell walks into the Oval Office God forbid to do negotiations who do you want when that door closes to be sitting behind that desk to fight for women's rights?",0.086,0.821,0.094,-0.0772,11980,4699.69,12060,4728.32,"then we have the aca during the aca negotiation i had to fight like heck with other women to make sure that contraception wasn't sold down the river or abortion services and so what we need to know is imagine this one question when we beat president trump and mitch mcconnell walks into the oval office god forbid to do negotiations who do you want when that door closes to be sitting behind that desk to fight for women's rights","then we have a a during the negotiation i had to to fight like heck with other women to make sure that contraception wasn't sold down the river or abortion service is and so what we need to know is imagine this one question when we beat president trump and mitch mcconnell walks into the over office god forbid to do negotiations who do you want when that door closes to be sitting behind that desk toe fight for women's rights",0.9766355140186916
"GILLIBRAND","I have been the fiercest advocate for women's reproductive freedom for over a decade. And I promise you as president when that door closes I will guarantee women's reproductive freedom no matter what.",0.056,0.59,0.354,0.891,12061,4728.33,12089,4737.62,"i have been the fiercest advocate for women's reproductive freedom for over a decade and i promise you as president when that door closes i will guarantee women's reproductive freedom no matter what","i have been the fiercest advocates for women's reproductive freedom for over a decade and i promise you as press senator when that door closes i will guarantee women's",0.8767123287671232
"MADDOW","Senator thank you.",0.0,0.444,0.556,0.3612,12091,4738.78,12092,4739.29,"senator thank you","thank you",0.6923076923076923
"TODD","Thank you.",0.0,0.286,0.714,0.3612,12093,4739.3,12094,4739.84,"thank you","thank you",1.0
"TODD","We are moving to climate. We are moving to climate guys. Senator Harris I'm addressing you first on this. You live in a state that has been hit by drought wildfires flooding. Climate change is a major concern for voters in your state that's pretty obvious obviously this state as well.",0.0,0.899,0.101,0.6486,12095,4739.98,12140,4753.44,"we are moving to climate we are moving to climate guys senator harris i'm addressing you first on this you live in a state that has been hit by drought wildfires flooding climate change is a major concern for voters in your state that's pretty obvious obviously this state as well","were moving to climb climate guys senator harris i'm addressing you first on this you live in a state that has been hit by drought wildfires flooding climate change is a major concern for voters in your state it's pretty obvious obviously this state as well",0.9497206703910615
"TODD","Last night voters heard many of the candidates weigh in on their proposals. Explain specifically what yours is.",0.0,1.0,0.0,0.0,12141,4753.75,12158,4759.34,"last night voters heard many of the candidates weigh in on their proposals explain specifically what yours is","last night voters heard many of the candidates weigh in on their proposals explain specifically what yours is",1.0
"HARRIS","Well first of all I don't even call it climate change. It's a climate crisis. It represents an existential threat to us as a species. And the fact that we have a president of the United States who has embraced science fiction over science fact will be to our collective peril.",0.179,0.736,0.086,-0.743,12159,4760.18,12207,4775.09,"well first of all i don't even call it climate change it's a climate crisis it represents an existential threat to us as a species and the fact that we have a president of the united states who has embraced science fiction over science fact will be to our collective peril","well first of all i don't even call it climate changes the climate crisis it represents an existential threat to us as a species and the fact that we have a president of the united states was embraced science fiction over science fact will be to our collective peril",0.9776951672862454
"HARRIS","I visited while the embers were smoldering the wildfires in California. I spoke with firefighters who were in the midst of fighting a fire while their own homes were burning. And on this issue it is a critical issue that is about what we must do to confront what is immediate and before us right now.",0.156,0.844,0.0,-0.7845,12208,4775.68,12265,4797.68,"i visited while the embers were smoldering the wildfires in california i spoke with firefighters who were in the midst of fighting a fire while their own homes were burning and on this issue it is a critical issue that is about what we must do to confront what is immediate and before us right now","i visited while the embers were smoldering the wildfires in california i spoke with firefighters who were in the midst of fighting a fire while their own homes were burning and on this issue it is it is a critical issue that is about what we must do to confront what is immediate and before us right now",0.99
"HARRIS","That is why I support a Green New Deal. It is why I believe on day one and as president will re-enter us in the Paris Agreement because we have to take these issues seriously. And frankly we have a president of the United States we talked about you asked before what is the greatest national security threat to the United States?",0.07,0.683,0.247,0.9186,12266,4797.68,12326,4814.78,"that is why i support a green new deal it is why i believe on day one and as president will re-enter us in the paris agreement because we have to take these issues seriously and frankly we have a president of the united states we talked about you asked before what is the greatest national security threat to the united states","that is why i support a green new deal it is why i believe on day one and as president will re enter us in the paris agreement because we have to take these issues seriously and frankly we have a president united states we talked about you asked before what is the greatest national security threat to the united states",0.986046511627907
"HARRIS","It's Donald Trump.",0.0,1.0,0.0,0.0,12327,4814.79,12329,4815.79,"it's donald trump","it's donald trump",1.0
"HARRIS","And I'm going to tell you why. And I'm going to tell you why. Because I agree climate change represents an existential threat. He denies the science. You want to talk about North Korea a real threat in terms of nuclear arsenal but what does he do? He embraces Kim Jong-un a dictator for the sake of a photo op.",0.105,0.847,0.048,-0.5267,12330,4816.66,12386,4834.493,"and i'm going to tell you why and i'm going to tell you why because i agree climate change represents an existential threat he denies the science you want to talk about north korea a real threat in terms of nuclear arsenal but what does he do he embraces kim jong-un a dictator for the sake of a photo op","and i'm gonna tell you why on i'm gonna tell you why because i agree climate change represents an existential threat he denies the science you want to talk about north korea really threat in terms of nuclear arsenal but what does he do he embraces kim jong un a dictator for the sake of a photo",0.9565217391304348
